index,command_vx,command_vy,command_vyaw,start_time,end_time,frame_count,csv_path,npz_path
1,0.2,0.0,0.0,0.40000528000009583,15.889814757000158,775,C:\Users\sinsu\Desktop\soccer_ws\train\processed_walks_002\csv\clip_0001_vxp0.20_vyp0.00_vyawp0.00.csv,C:\Users\sinsu\Desktop\soccer_ws\train\processed_walks_002\npz\clip_0001_vxp0.20_vyp0.00_vyawp0.00.npz
2,0.0,0.0,0.0,16.291730169000175,20.321635017000062,202,C:\Users\sinsu\Desktop\soccer_ws\train\processed_walks_002\csv\clip_0002_vxp0.00_vyp0.00_vyawp0.00.csv,C:\Users\sinsu\Desktop\soccer_ws\train\processed_walks_002\npz\clip_0002_vxp0.00_vyp0.00_vyawp0.00.npz
3,-0.2,0.0,0.0,20.72359875100019,29.60196597000013,445,C:\Users\sinsu\Desktop\soccer_ws\train\processed_walks_002\csv\clip_0003_vxm0.20_vyp0.00_vyawp0.00.csv,C:\Users\sinsu\Desktop\soccer_ws\train\processed_walks_002\npz\clip_0003_vxm0.20_vyp0.00_vyawp0.00.npz
4,-0.5,0.0,0.0,30.403964073000132,44.767123276999975,719,C:\Users\sinsu\Desktop\soccer_ws\train\processed_walks_002\csv\clip_0004_vxm0.50_vyp0.00_vyawp0.00.csv,C:\Users\sinsu\Desktop\soccer_ws\train\processed_walks_002\npz\clip_0004_vxm0.50_vyp0.00_vyawp0.00.npz
5,0.0,0.0,0.0,45.16913184300006,49.92834576600012,239,C:\Users\sinsu\Desktop\soccer_ws\train\processed_walks_002\csv\clip_0005_vxp0.00_vyp0.00_vyawp0.00.csv,C:\Users\sinsu\Desktop\soccer_ws\train\processed_walks_002\npz\clip_0005_vxp0.00_vyp0.00_vyawp0.00.npz
6,0.5,0.0,0.0,50.33058153800007,54.948672867000006,232,C:\Users\sinsu\Desktop\soccer_ws\train\processed_walks_002\csv\clip_0006_vxp0.50_vyp0.00_vyawp0.00.csv,C:\Users\sinsu\Desktop\soccer_ws\train\processed_walks_002\npz\clip_0006_vxp0.50_vyp0.00_vyawp0.00.npz
7,0.0,0.0,0.0,55.3507340430001,57.79571540000006,123,C:\Users\sinsu\Desktop\soccer_ws\train\processed_walks_002\csv\clip_0007_vxp0.00_vyp0.00_vyawp0.00.csv,C:\Users\sinsu\Desktop\soccer_ws\train\processed_walks_002\npz\clip_0007_vxp0.00_vyp0.00_vyawp0.00.npz
8,-1.0,0.0,0.0,58.1973373960001,68.15412414200009,499,C:\Users\sinsu\Desktop\soccer_ws\train\processed_walks_002\csv\clip_0008_vxm1.00_vyp0.00_vyawp0.00.csv,C:\Users\sinsu\Desktop\soccer_ws\train\processed_walks_002\npz\clip_0008_vxm1.00_vyp0.00_vyawp0.00.npz
9,0.0,0.0,0.0,68.55607075500006,70.79833749900013,113,C:\Users\sinsu\Desktop\soccer_ws\train\processed_walks_002\csv\clip_0009_vxp0.00_vyp0.00_vyawp0.00.csv,C:\Users\sinsu\Desktop\soccer_ws\train\processed_walks_002\npz\clip_0009_vxp0.00_vyp0.00_vyawp0.00.npz
10,1.0,0.0,0.0,71.200337873,75.39400989300006,211,C:\Users\sinsu\Desktop\soccer_ws\train\processed_walks_002\csv\clip_0010_vxp1.00_vyp0.00_vyawp0.00.csv,C:\Users\sinsu\Desktop\soccer_ws\train\processed_walks_002\npz\clip_0010_vxp1.00_vyp0.00_vyawp0.00.npz
11,0.0,0.0,0.0,75.79661134000003,79.21853619300009,172,C:\Users\sinsu\Desktop\soccer_ws\train\processed_walks_002\csv\clip_0011_vxp0.00_vyp0.00_vyawp0.00.csv,C:\Users\sinsu\Desktop\soccer_ws\train\processed_walks_002\npz\clip_0011_vxp0.00_vyp0.00_vyawp0.00.npz
12,-1.0,0.0,0.0,79.62055148000005,84.03861831700019,222,C:\Users\sinsu\Desktop\soccer_ws\train\processed_walks_002\csv\clip_0012_vxm1.00_vyp0.00_vyawp0.00.csv,C:\Users\sinsu\Desktop\soccer_ws\train\processed_walks_002\npz\clip_0012_vxm1.00_vyp0.00_vyawp0.00.npz
13,0.0,0.0,0.0,84.44092836300001,86.87350119200005,123,C:\Users\sinsu\Desktop\soccer_ws\train\processed_walks_002\csv\clip_0013_vxp0.00_vyp0.00_vyawp0.00.csv,C:\Users\sinsu\Desktop\soccer_ws\train\processed_walks_002\npz\clip_0013_vxp0.00_vyp0.00_vyawp0.00.npz
14,0.0,0.2,0.0,87.27543164400018,93.91761106600015,333,C:\Users\sinsu\Desktop\soccer_ws\train\processed_walks_002\csv\clip_0014_vxp0.00_vyp0.20_vyawp0.00.csv,C:\Users\sinsu\Desktop\soccer_ws\train\processed_walks_002\npz\clip_0014_vxp0.00_vyp0.20_vyawp0.00.npz
15,0.0,0.0,0.0,94.31964356900016,98.90647539600013,230,C:\Users\sinsu\Desktop\soccer_ws\train\processed_walks_002\csv\clip_0015_vxp0.00_vyp0.00_vyawp0.00.csv,C:\Users\sinsu\Desktop\soccer_ws\train\processed_walks_002\npz\clip_0015_vxp0.00_vyp0.00_vyawp0.00.npz
