0.0000000000,0.0000000000,0.3000000000,-0.0076223918,0.0122488248,0.9905918530,0.1360869068,0.0075398223,0.0018849556,0.2000000000,-1.3000000000,0.0000000000,-0.5000000000,0.2000000000,1.3000000000,0.0000000000,0.5000000000,-0.4892423749,-0.0253681242,-0.1241702884,0.7959487438,-0.1936359257,-0.0656315982,-0.1405737400,0.0097276261,-0.0555046909,0.3385595381,-0.2072004676,-0.0146980509
0.0043131064,0.0154055892,0.3000000000,-0.0065731004,0.0103280397,0.9905978438,0.1362572484,0.0075398223,0.0012566370,0.2000000000,-1.3000000000,0.0000000000,-0.5000000000,0.2000000000,1.3000000000,0.0000000000,0.5000000000,-0.4380603044,-0.0123795687,-0.1157640380,0.7172590654,-0.1874836889,-0.0709860792,-0.1302601037,0.0093461508,-0.0532112423,0.3229006547,-0.2050159180,-0.0132009100
0.0086347328,0.0308087906,0.3000000000,-0.0060818129,0.0070221046,0.9906103833,0.1363993040,0.0075398223,0.0006283185,0.2000000000,-1.3000000000,0.0000000000,-0.5000000000,0.2000000000,1.3000000000,0.0000000000,0.5000000000,-0.3780779462,0.0009270501,-0.1047683121,0.6261702471,-0.1795950790,-0.0678699059,-0.1219080789,0.0100957830,-0.0516899377,0.3092258807,-0.2042480440,-0.0118130900
0.0129549631,0.0462123833,0.3000000000,-0.0067954747,0.0026214286,0.9906751886,0.1360500656,0.0075398223,0.0006283185,0.2000000000,-1.3000000000,0.0000000000,-0.5000000000,0.2000000000,1.3000000000,0.0000000000,0.5000000000,-0.3144554071,0.0119072544,-0.0937614735,0.5257390344,-0.1694985824,-0.0564472586,-0.1139432666,0.0123979552,-0.0513084605,0.2986138445,-0.2022118056,-0.0081486761
0.0172552368,0.0616215574,0.3000000000,-0.0074167370,-0.0030268169,0.9908002126,0.1350954077,0.0075398223,0.0006283185,0.2000000000,-1.3000000000,0.0000000000,-0.5000000000,0.2000000000,1.3000000000,0.0000000000,0.5000000000,-0.2499390105,0.0199533768,-0.0854079656,0.4232660721,-0.1605425033,-0.0492926734,-0.1089112684,0.0157571463,-0.0498566482,0.2901862558,-0.1968942849,0.0021172392
0.0215081446,0.0770438597,0.3000000000,-0.0095242552,-0.0079350579,0.9910298482,0.1330645087,0.0075398223,0.0008016911,0.2000000000,-1.3000000000,0.0000000000,-0.5000000000,0.2000000000,1.3000000000,0.0000000000,0.5000000000,-0.1959138154,0.0221453664,-0.0768673196,0.3386379284,-0.1649192411,-0.0300733278,-0.1144624494,0.0175280906,-0.0429816911,0.2957028980,-0.1915756574,0.0114239775
0.0257291325,0.0924749427,0.3000000000,-0.0087463832,-0.0069677829,0.9910256896,0.1332029781,0.0081681414,0.0024078615,0.2000000000,-1.3000000000,0.0000000000,-0.5000000000,0.2000000000,1.3000000000,0.0000000000,0.5000000000,-0.1670900816,0.0210464165,-0.0747704708,0.2738417567,-0.1602027562,-0.0217351261,-0.1334486510,-0.0026050671,-0.0268325498,0.3303515250,-0.1819819457,0.0194089329
0.0300209964,0.1078864142,0.3000000000,-0.0092269084,-0.0036494804,0.9904909083,0.1372199183,0.0081681414,0.0000000000,0.2000000000,-1.3000000000,0.0000000000,-0.5000000000,0.2000000000,1.3000000000,0.0000000000,0.5000000000,-0.1308032293,0.0086571261,-0.0628636199,0.2233790467,-0.1378132182,-0.0197444274,-0.1981632795,-0.0222054307,-0.0072051496,0.4211046895,-0.1675111487,0.0292425231
0.0344201009,0.1232676410,0.3000000000,-0.0115540706,-0.0026335411,0.9900709179,0.1400683601,0.0081681414,0.0000000000,0.2000000000,-1.3000000000,0.0000000000,-0.5000000000,0.2000000000,1.3000000000,0.0000000000,0.5000000000,-0.1268015678,0.0014132695,-0.0536754212,0.1892945070,-0.1137913294,-0.0067291781,-0.2837951881,-0.0385635591,0.0049937098,0.5506237312,-0.1510078698,0.0324023514
0.0388955250,0.1386268425,0.3000000000,-0.0144001131,-0.0014849546,0.9896932660,0.1424698945,0.0080548483,0.0000000000,0.2000000000,-1.3000000000,0.0000000000,-0.5000000000,0.2000000000,1.3000000000,0.0000000000,0.5000000000,-0.1313495465,-0.0061567777,-0.0464868482,0.1773329544,-0.0946140730,-0.0025079790,-0.3864005330,-0.0529407018,0.0152434065,0.7063272861,-0.1321173465,0.0301068826
0.0434397862,0.1539658276,0.3000000000,-0.0169177175,-0.0008817150,0.9893906964,0.1442881257,0.0075398223,0.0006283185,0.2000000000,-1.3000000000,0.0000000000,-0.5000000000,0.2000000000,1.3000000000,0.0000000000,0.5000000000,-0.1397120118,-0.0089152888,-0.0421530493,0.1775274818,-0.0869611739,0.0034936140,-0.5010630621,-0.0674649785,0.0282223817,0.8768386110,-0.1127631281,0.0281424061
0.0480331826,0.1692901767,0.3000000000,-0.0184883803,-0.0011127140,0.9892115668,0.1453183322,0.0080715511,0.0005317283,0.2000000000,-1.3000000000,0.0000000000,-0.5000000000,0.2000000000,1.3000000000,0.0000000000,0.5000000000,-0.1488489206,-0.0090233190,-0.0421530493,0.1812743391,-0.0848274976,0.0075420486,-0.6119613924,-0.0786574117,0.0430042563,1.0455237360,-0.0941292367,0.0284603357
0.0526442027,0.1846092345,0.3000000000,-0.0186045712,-0.0022887477,0.9891437850,0.1457504860,0.0076622185,0.0012566370,0.2000000000,-1.3000000000,0.0000000000,-0.5000000000,0.2000000000,1.3000000000,0.0000000000,0.5000000000,-0.1515622159,-0.0052985425,-0.0417715721,0.1874209215,-0.0848274976,0.0075420486,-0.7102406267,-0.0881629671,0.0597108420,1.1986334313,-0.0773551652,0.0295489772
0.0572598428,0.1999269020,0.3000000000,-0.0172486158,-0.0037817962,0.9891704850,0.1457049585,0.0081681414,0.0012566370,0.2000000000,-1.3000000000,0.0000000000,-0.5000000000,0.2000000000,1.3000000000,0.0000000000,0.5000000000,-0.1517118378,0.0026351367,-0.0413900986,0.1901655644,-0.0848746672,0.0083506368,-0.7941363824,-0.0958657877,0.0758031329,1.3263046082,-0.0639393545,0.0306648842
0.0618793849,0.2152433929,0.3000000000,-0.0152162581,-0.0057952730,0.9891711697,0.1458604719,0.0081681414,0.0012566370,0.2000000000,-1.3000000000,0.0000000000,-0.5000000000,0.2000000000,1.3000000000,0.0000000000,0.5000000000,-0.1473063886,0.0110059689,-0.0417715721,0.1894026101,-0.0857923715,0.0084131510,-0.8568914585,-0.1034055715,0.0903528853,1.4192378140,-0.0542775559,0.0337542948
0.0664969450,0.2305604814,0.3000000000,-0.0130679289,-0.0075436229,0.9892232909,0.1456351732,0.0081681414,0.0012566370,0.2000000000,-1.3000000000,0.0000000000,-0.5000000000,0.2000000000,1.3000000000,0.0000000000,0.5000000000,-0.1381951172,0.0235505106,-0.0417715721,0.1860665621,-0.0873329104,0.0054942119,-0.9026496822,-0.1117685982,0.1003243332,1.4760972218,-0.0508527279,0.0363120988
0.0711067622,0.2458799017,0.3000000000,-0.0109706497,-0.0096064432,0.9892769263,0.1453221396,0.0081681414,0.0012566370,0.2000000000,-1.3000000000,0.0000000000,-0.5000000000,0.2000000000,1.3000000000,0.0000000000,0.5000000000,-0.1269421428,0.0361411110,-0.0421530493,0.1771037184,-0.0895385987,0.0021977445,-0.9279343515,-0.1236872822,0.1034740087,1.5006257281,-0.0493698267,0.0370436398
0.0757091775,0.2612015479,0.3000000000,-0.0095436917,-0.0108302855,0.9893023757,0.1451634672,0.0081681414,0.0006283185,0.2000000000,-1.3000000000,0.0000000000,-0.5000000000,0.2000000000,1.3000000000,0.0000000000,0.5000000000,-0.1145693953,0.0479391882,-0.0429159999,0.1654114695,-0.0905559034,0.0038815525,-0.9378576279,-0.1382430671,0.1050965115,1.5022715796,-0.0466484006,0.0417164237
0.0803058747,0.2765249105,0.3000000000,-0.0083932173,-0.0111262974,0.9893320830,0.1450096165,0.0081681414,0.0006283185,0.2000000000,-1.3000000000,0.0000000000,-0.5000000000,0.2000000000,1.3000000000,0.0000000000,0.5000000000,-0.1031948321,0.0582983842,-0.0436789505,0.1531681238,-0.0913563343,0.0032593909,-0.9341719256,-0.1550584250,0.1031891331,1.4864308272,-0.0464090334,0.0427251776
0.0848863240,0.2918531357,0.3000000000,-0.0073782245,-0.0097995760,0.9894628786,0.1442662188,0.0081681414,0.0006283185,0.2000000000,-1.3000000000,0.0000000000,-0.5000000000,0.2000000000,1.3000000000,0.0000000000,0.5000000000,-0.0941400247,0.0658671072,-0.0444419011,0.1446010993,-0.0919340813,0.0012447356,-0.9263507849,-0.1743750330,0.0980610774,1.4546755904,-0.0497754564,0.0454654313
0.0894506956,0.3071861578,0.3000000000,-0.0076079163,-0.0070975672,0.9895401020,0.1438823498,0.0075398223,0.0006283185,0.2000000000,-1.3000000000,0.0000000000,-0.5000000000,0.2000000000,1.3000000000,0.0000000000,0.5000000000,-0.0891838495,0.0716895162,-0.0440604240,0.1401922703,-0.0933131197,-0.0023219525,-0.9027641254,-0.1911448988,0.0885302127,1.4141064313,-0.0551674476,0.0564328915
0.0939995461,0.3225237912,0.3000000000,-0.0079478311,-0.0038322626,0.9896355568,0.1433304238,0.0075398223,0.0006283185,0.2000000000,-1.3000000000,0.0000000000,-0.5000000000,0.2000000000,1.3000000000,0.0000000000,0.5000000000,-0.0884752203,0.0801911896,-0.0432974733,0.1426989613,-0.0969478543,-0.0093881344,-0.8677765404,-0.2060781227,0.0790477453,1.3635862886,-0.0620231777,0.0663345294
